global_prod_id,product_name
P0261,باور بى كومبليكس حقن س ج/كيميفارم
P0262,درموكالم لوسيون 120مل  س ق/ماكرو
P0263,امبوفير 5 امبول  حديد ثلاجة  س ج/ايجيفار
P0264,كونفنتين 800مج 30ك س ج/ايفا فارم
P0265,كلينداجرام جل 30جم/الاسراء
P0266,دياميكرون ام ار30مج30ق س ج/سيرفييه
P0267,ريفى تو كريم 50جم س ق/ماكرو
P0268,بولى فريش سنجل دوز
P0269,بكتى برو شراب 90مل س ج/اكتوبر
P0270,ليفوهستام 5مج30ق س ج/يوتوبيا
P0271,تربتيزول 25مج  30ق س ج/القاهرة
P0272,دانسيت (8مج/4مل) 3امبول  س ق/ادويا
P0273,فيروترون 3شرررريط  س ق/نيرهادو
P0274,بيبون بلس 20ك  س ق/ميباكو
P0275,مايوكول كريم 100جم/بيوريكس
P0276,بيبانتين كريم 5% 30جم س ق/باير
P0277,دابافيلداكتين بلس 1000/5 مجم 28ق/ليبتس
P0278,ليمتلس سيدات ماكس 30ق س ج/ايفا
P0279,اترابكس 100مج 4ك  س ق/ابيكس
P0280,لاميفين كريم 1%  15جم س ج/المجموعة المصرية
P0281,كيتولاك 10مج20ق س ج/العامرية
P0282,فلاجيل 500مج 20ق  س ق/سانوفي افنتس
P0283,الكابرس 5 مج 20ق/حكمة
P0284,ليبانتيل 300مج 30ك س ج/ مينافارم
P0285,كلوزابكس 25مج 50ق س ج/ابيكس
P0286,جاست ريج 200مج 30ق س ج/امون
P0287,ليبراكس 30ق س ج/ابيكو
P0288,سى ريتارد 500مج 10ك س ج/حكمة
P0289,جليمت 400/2.5مج 30ق س ج/ماركيرل
P0290,نيوروتون 6امبول س ج/امون
P0291,نيفيلوب 5مج 21ق س ج/ماركيرل
P0292,فيلداجلوز 50مج30ق س ق/انسبيرا
P0293,اومنيفورا 8امبولات س ج/راميدا
P0294,بيكوزيم 12امبول س ج/المصرية
P0295,ميوكوفيللين شراب 125مل س ج/مصر
P0296,جليفلوزاميت  25/1000 30ق  س ق
P0297,نايت كالم 3مج 30ق س ج/ميديزن
P0298,سيبراليكس 10 مجم ق/جمجوم
P0299,فوليك اسيد/ابيكو
P0300,سيبروفلوكساسين 500مج 10ق س ج/اورجانو
P0301,سيبروفار 500مج 10ق /فاركو
P0302,ايزوميبرازول20مجم ق/ايفا
P0303,هيبامكس بلاس 20ك س ج/ماركيرل
P0304,نيباسكو 5 مجم30قرص/تبوك
P0305,كونكور 10مجم 3شريط/امون
P0306,فولتارين 6امبول (75مم) س ج/نوفارتس
P0307,مافيلور 5مج 30ق س ج/ابيكس
P0308,فيلداجلوز بلس (1000/50) 30ق س ج/انسبيرا
P0309,اسبرين بروتكت 100مجم 30 ق س ج
P0310,ايمباكوزا بلس 10/5  س ق/فارما جلوب
P0311,بيسكالدين 300مج 15ك  س ق/كوباد
P0312,دريسينج شاش تراى ام 15 * 25 8ق
P0313,مناديل فاميليا 500منديل
P0314,فاين فلافى 480 منديل
P0315,زينة مناديل 500 منديل
P0316,سرنجات الاسبانية 3سم اطفال 300س
P0317,سرنجات الاسبانية 5سم كبار 250س
P0318,نورمو تيرز قطرة 15مل/ابيكو
P0319,تريفلوكان 150مج   1ك س ج/ابيكو
P0320,ريلاكسون 30ك  س ق/جمجوم
P0321,ليرجيكير اقراص س ج/الاسراء
P0322,روبالجين كريم 20جم س ج/القاهرة
P0323,ديفلوكان 150مج 1ك  س ج/فايزر
P0324,باور كابس 20ك/كيميفارم
P0325,فيموجيسال3./0.75م 21ق س ج/تكنوفارما
P0326,ديكساميثازون 3امبول س ج /العامرية
P0327,نافكوزول قطره ابيكو/نافكون
P0328,كونفنتين 600مج30ك /ايفا فارم
P0329,كانزارتان 12.5/150مج بلس30ق س ج/كيميفارم
P0330,تافانيك 500مج 5ق س ق/سانوفي افنتس
P0331,فياجرا 100مج 4ق س ج/فايزر
P0332,كلوبكس أجريل 75مج30ق س ج/ماركيرل
P0333,اكسفورج اتش12.5/160/5م 14ق س ج/نوفارتس
P0334,سيربروليسين 10امبول(1مل)/يونايتد
P0335,فيروفول (عادي) 30ك س ج/ابيكو
P0336,كونتافيفر ان شراب120مل س ج/افيروس
P0337,ماغنسيوم  بلس ميباكو س 0ج
P0338,فولتارين 50 مج 20ق س ج/نوفارتس
P0339,ستربتوكين 20ق س ج/المهن
P0340,لاموترين 100مج 30ق س ج/ابيكس
P0341,داباجليف10مجم 14 قرص  س ق
P0342,سيمبابروست8مجم30كبسوله س ق/الاسراء
P0343,اكسفورج 160/10مج 14ق س ج/نوفارتس
P0344,سيفاكسون  1جم(عضل) 1فيال س ج/فاركو
P0345,ميلاكريست 3 مجم20 لزقة منوم
P0346,كولى روز 20مج 21ق س ق/ماركيرل
P0347,بروكا سوفت 2م14ق س ج/ماركريل
P0348,كولى روز بلس 10/10مج 28ق س ج/ماركيرل
P0349,اوبتامينس ق 150ق (بديل كيتوستريل)  س ج/راميدا
P0350,فلادازول 500مج 4ق  س ج/امون
P0351,جليسرين لبوس اطفال 10أقماع س ج/جلاكسو
P0352,لاكتيفينور 35ق س ج/اكديما
P0353,ازيلاست بلس بخاخ25ملى س ج/حكمة
P0354,تامسولين 0.4مج28ك س ج/ماركيرل
P0355,زيرتك 0.1% شراب 100مل س ج/جلاكسو
P0356,نازونيكس 0.05% بخاخ120جرعة ثلاجة/رامكو
P0357,زنكترون 30ك  س ق/نرهادو
P0358,كليكزان80مج2سرنجة  ثلاجة /سانوفي افنتس
P0359,ستارفيل سيرم هيالورونيك 30مل
P0360,سيروكسات سى ار 25 مج 30ق/جلاكسو
P0361,لبن برى نان
P0362,لبن هيرو 3 نيوتراديفينس  400جم/هيرو
